municipio,cod_ine,confirmados,recuperados,decesos
Cobija,90101,12,0,1
Cairoma,20905,12,0,0
Potosi,50101,20,0,1
Tarija,60101,3,0,0
Robore,70503,5,0,1
Cliza,0,1,0,1
Cotoca,70102,7,0,0
San Carlos,70402,1,0,0
Copacabana,21701,1,0,0
La Guardia,70104,21,0,1
Concepcion,71101,1,0,0
Uyuni,51201,1,0,0
Eucaliptus,41101,3,0,1
Sucre,10101,1,0,0
San Pedro,71005,1,0,0
El Alto,20105,41,5,6
Punata,31401,8,0,1
Genreal Saavedra,71002,4,0,0
Capinota,30701,0,0,0
Vallegrande,70801,8,1,0
Porongo (Ayacucho),70103,1,1,0
Laja,21202,1,0,0
Cochabamba,30101,27,7,2
Trinidad,80101,2,0,1
Warnes,70201,9,0,1
San Julián,71104,1,0,0
Malla,20904,1,0,0
Montero,71001,76,0,2
Huanuni,40701,13,0,0
Chulumani,21101,1,0,0
Patacamaya,21305,18,0,1
Santa Rosa,70602,6,0,0
Quillacollo,30901,6,0,1
Santa Cruz de la Sierra,70101,230,12,11
Santuario de Quillacas,40202,3,0,0
Omereque,30203,5,1,0
Colcapirhua,30905,1,1,0
Chimore,31204,1,1,0
Sacaba,31001,2,0,1
Santibañez,30702,12,3,0
La Paz,20101,65,4,6
Oruro,40101,40,8,1
